id,sku,source_code,status,quantity
0,24-MB01,gb_warehouse_london,1,200
1,24-MB02,gb_warehouse_london,1,86
2,24-MB03,gb_warehouse_london,1,119
3,24-MB04,gb_warehouse_london,1,71
4,24-MB05,gb_warehouse_london,1,200
5,24-MB06,gb_warehouse_london,1,332
6,24-UB02,gb_warehouse_london,1,323
7,24-WB01,gb_warehouse_london,1,315
8,24-WB02,gb_warehouse_london,1,136
9,24-WB03,gb_warehouse_london,1,238
10,24-WB04,gb_warehouse_london,1,114
11,24-WB05,gb_warehouse_london,1,183
12,24-WB06,gb_warehouse_london,1,56
13,24-WB07,gb_warehouse_london,1,396
14,24-MB01,de_warehouse_berlin,1,157
15,24-MB02,de_warehouse_berlin,1,355
16,24-MB03,de_warehouse_berlin,1,99
17,24-MB04,de_warehouse_berlin,1,213
18,24-MB05,de_warehouse_berlin,1,252
19,24-MB06,de_warehouse_berlin,1,154
20,24-UB02,de_warehouse_berlin,1,333
21,24-WB01,de_warehouse_berlin,1,383
22,24-WB02,de_warehouse_berlin,1,29
23,24-WB03,de_warehouse_berlin,1,315
24,24-WB04,de_warehouse_berlin,1,72
25,24-WB05,de_warehouse_berlin,1,229
26,24-WB06,de_warehouse_berlin,1,174
27,24-WB07,de_warehouse_berlin,1,284
28,24-MB01,es_store_madrid,1,313
29,24-MB02,es_store_madrid,1,388
30,24-MB03,es_store_madrid,1,382
31,24-MB04,es_store_madrid,1,43
32,24-MB05,es_store_madrid,1,56
33,24-MB06,es_store_madrid,1,16
34,24-UB02,es_store_madrid,1,329
35,24-WB01,es_store_madrid,1,136
36,24-WB02,es_store_madrid,1,29
37,24-WB03,es_store_madrid,1,241
38,24-WB04,es_store_madrid,1,328
39,24-WB05,es_store_madrid,1,177
40,24-WB06,es_store_madrid,1,115
41,24-WB07,es_store_madrid,1,287
42,24-MB01,fr_store_paris,1,341
43,24-MB02,fr_store_paris,1,300
44,24-MB03,fr_store_paris,1,139
45,24-MB04,fr_store_paris,1,142
46,24-MB05,fr_store_paris,1,44
47,24-MB06,fr_store_paris,1,192
48,24-UB02,fr_store_paris,1,213
49,24-WB01,fr_store_paris,1,299
50,24-WB02,fr_store_paris,1,197
51,24-WB03,fr_store_paris,1,372
52,24-WB04,fr_store_paris,1,223
53,24-WB05,fr_store_paris,1,69
54,24-WB06,fr_store_paris,1,172
55,24-WB07,fr_store_paris,1,319
56,24-MB01,de_store_hamburg,1,212
57,24-MB02,de_store_hamburg,1,28
58,24-MB03,de_store_hamburg,1,328
59,24-MB04,de_store_hamburg,1,220
60,24-MB05,de_store_hamburg,1,320
61,24-MB06,de_store_hamburg,1,328
62,24-UB02,de_store_hamburg,1,299
63,24-WB01,de_store_hamburg,1,165
64,24-WB02,de_store_hamburg,1,23
65,24-WB03,de_store_hamburg,1,338
66,24-WB04,de_store_hamburg,1,356
67,24-WB05,de_store_hamburg,1,98
68,24-WB06,de_store_hamburg,1,20
69,24-WB07,de_store_hamburg,1,346
70,24-MB01,es_store_barcelona,1,96
71,24-MB02,es_store_barcelona,1,99
72,24-MB03,es_store_barcelona,1,398
73,24-MB04,es_store_barcelona,1,247
74,24-MB05,es_store_barcelona,1,265
75,24-MB06,es_store_barcelona,1,381
76,24-UB02,es_store_barcelona,1,254
77,24-WB01,es_store_barcelona,1,237
78,24-WB02,es_store_barcelona,1,295
79,24-WB03,es_store_barcelona,1,297
80,24-WB04,es_store_barcelona,1,306
81,24-WB05,es_store_barcelona,1,277
82,24-WB06,es_store_barcelona,1,276
83,24-WB07,es_store_barcelona,1,334
84,24-MB01,de_store_munich,1,102
85,24-MB02,de_store_munich,1,372
86,24-MB03,de_store_munich,1,205
87,24-MB04,de_store_munich,1,200
88,24-MB05,de_store_munich,1,349
89,24-MB06,de_store_munich,1,268
90,24-UB02,de_store_munich,1,272
91,24-WB01,de_store_munich,1,294
92,24-WB02,de_store_munich,1,264
93,24-WB03,de_store_munich,1,355
94,24-WB04,de_store_munich,1,137
95,24-WB05,de_store_munich,1,163
96,24-WB06,de_store_munich,1,178
97,24-WB07,de_store_munich,1,384
98,24-MB01,gb_store_birmingham,1,270
99,24-MB02,gb_store_birmingham,1,83
100,24-MB03,gb_store_birmingham,1,260
101,24-MB04,gb_store_birmingham,1,378
102,24-MB05,gb_store_birmingham,1,289
103,24-MB06,gb_store_birmingham,1,359
104,24-UB02,gb_store_birmingham,1,81
105,24-WB01,gb_store_birmingham,1,375
106,24-WB02,gb_store_birmingham,1,100
107,24-WB03,gb_store_birmingham,1,241
108,24-WB04,gb_store_birmingham,1,331
109,24-WB05,gb_store_birmingham,1,216
110,24-WB06,gb_store_birmingham,1,132
111,24-WB07,gb_store_birmingham,1,27
112,24-MB01,de_store_cologne,1,176
113,24-MB02,de_store_cologne,1,285
114,24-MB03,de_store_cologne,1,370
115,24-MB04,de_store_cologne,1,19
116,24-MB05,de_store_cologne,1,115
117,24-MB06,de_store_cologne,1,176
118,24-UB02,de_store_cologne,1,229
119,24-WB01,de_store_cologne,1,217
120,24-WB02,de_store_cologne,1,201
121,24-WB03,de_store_cologne,1,72
122,24-WB04,de_store_cologne,1,360
123,24-WB05,de_store_cologne,1,83
124,24-WB06,de_store_cologne,1,72
125,24-WB07,de_store_cologne,1,336
126,24-MB01,fr_store_marseille,1,230
127,24-MB02,fr_store_marseille,1,128
128,24-MB03,fr_store_marseille,1,392
129,24-MB04,fr_store_marseille,1,200
130,24-MB05,fr_store_marseille,1,56
131,24-MB06,fr_store_marseille,1,304
132,24-UB02,fr_store_marseille,1,160
133,24-WB01,fr_store_marseille,1,190
134,24-WB02,fr_store_marseille,1,79
135,24-WB03,fr_store_marseille,1,48
136,24-WB04,fr_store_marseille,1,349
137,24-WB05,fr_store_marseille,1,115
138,24-WB06,fr_store_marseille,1,303
139,24-WB07,fr_store_marseille,1,102
